filename,width,height,class,xmin,ymin,xmax,ymax
0000045,800.0,600.0,32,588.0,114.0,630.0,152.0
0000045,800.0,600.0,36,604.0,149.0,639.0,167.0
0000045,800.0,600.0,32,663.0,268.0,696.0,325.0
0000045,800.0,600.0,32,710.0,304.0,741.0,352.0
0000045,800.0,600.0,36,641.0,448.0,675.0,474.0
0000046,800.0,600.0,7,226.0,21.0,255.0,58.0
0000047,800.0,600.0,16,168.0,217.0,215.0,261.0
0000048,800.0,600.0,13,56.0,137.0,90.0,185.0
0000048,800.0,600.0,36,90.0,128.0,107.0,159.0
0000048,800.0,600.0,36,296.0,359.0,315.0,399.0
0000048,800.0,600.0,36,616.0,510.0,639.0,538.0
0000048,800.0,600.0,36,422.0,334.0,443.0,371.0
0000048,800.0,600.0,36,417.0,303.0,446.0,321.0
0000048,800.0,600.0,36,446.0,293.0,481.0,324.0
0000048,800.0,600.0,36,556.0,237.0,572.0,273.0
0000048,800.0,600.0,36,409.0,121.0,442.0,146.0
0000048,800.0,600.0,32,388.0,181.0,426.0,225.0
0000048,800.0,600.0,36,597.0,30.0,612.0,60.0
0000048,800.0,600.0,36,639.0,225.0,654.0,266.0
0000048,800.0,600.0,36,583.0,249.0,636.0,284.0
0000048,800.0,600.0,36,555.0,290.0,612.0,322.0
0000048,800.0,600.0,36,558.0,331.0,605.0,373.0
0000048,800.0,600.0,36,667.0,437.0,713.0,464.0
0000048,800.0,600.0,8,333.0,333.0,369.0,365.0
0000048,800.0,600.0,35,207.0,452.0,248.0,492.0
0000048,800.0,600.0,32,470.0,288.0,510.0,339.0
0000048,800.0,600.0,36,569.0,184.0,605.0,202.0
0000048,800.0,600.0,8,465.0,122.0,496.0,152.0
0000048,800.0,600.0,8,457.0,16.0,486.0,41.0
0000048,800.0,600.0,8,250.0,171.0,280.0,203.0
0000048,800.0,600.0,1,533.0,52.0,543.0,64.0
0000048,800.0,600.0,1,575.0,74.0,584.0,84.0
0000048,800.0,600.0,1,624.0,67.0,632.0,75.0
0000048,800.0,600.0,1,593.0,104.0,600.0,113.0
0000048,800.0,600.0,36,277.0,275.0,296.0,290.0
0000050,800.0,600.0,16,294.0,58.0,340.0,105.0
0000050,800.0,600.0,7,235.0,192.0,281.0,234.0
0000050,800.0,600.0,7,171.0,407.0,211.0,447.0
0000050,800.0,600.0,7,371.0,561.0,414.0,599.0
0000050,800.0,600.0,7,427.0,572.0,473.0,599.0
0000050,800.0,600.0,7,410.0,487.0,439.0,524.0
0000050,800.0,600.0,16,486.0,477.0,532.0,514.0
0000050,800.0,600.0,36,374.0,173.0,392.0,213.0
0000050,800.0,600.0,36,386.0,106.0,425.0,126.0
0000050,800.0,600.0,36,555.0,0.0,578.0,27.0
0000050,800.0,600.0,36,517.0,82.0,552.0,100.0
0000050,800.0,600.0,36,655.0,233.0,689.0,253.0
0000050,800.0,600.0,8,492.0,557.0,541.0,580.0
0000050,800.0,600.0,8,225.0,304.0,253.0,345.0
0000050,800.0,600.0,8,112.0,83.0,143.0,112.0
0000050,800.0,600.0,8,112.0,155.0,137.0,181.0
0000050,800.0,600.0,8,97.0,183.0,127.0,208.0
0000050,800.0,600.0,7,325.0,458.0,358.0,493.0
0000050,800.0,600.0,5,264.0,500.0,319.0,560.0
0000050,800.0,600.0,8,430.0,554.0,459.0,574.0
0000050,800.0,600.0,8,478.0,565.0,496.0,592.0
0000052,800.0,600.0,5,314.0,79.0,374.0,117.0
0000052,800.0,600.0,5,194.0,77.0,246.0,135.0
0000052,800.0,600.0,13,145.0,196.0,188.0,252.0
0000052,800.0,600.0,7,183.0,204.0,205.0,240.0
0000052,800.0,600.0,13,135.0,259.0,193.0,323.0
0000052,800.0,600.0,5,243.0,272.0,295.0,326.0
0000052,800.0,600.0,5,224.0,390.0,271.0,447.0
0000052,800.0,600.0,5,175.0,427.0,232.0,484.0
0000052,800.0,600.0,5,297.0,495.0,347.0,557.0
0000052,800.0,600.0,5,395.0,492.0,449.0,546.0
0000052,800.0,600.0,5,362.0,377.0,413.0,458.0
0000052,800.0,600.0,13,539.0,504.0,605.0,569.0
0000052,800.0,600.0,5,600.0,398.0,631.0,461.0
0000052,800.0,600.0,5,552.0,283.0,617.0,347.0
0000052,800.0,600.0,8,642.0,335.0,670.0,373.0
0000052,800.0,600.0,8,607.0,148.0,645.0,182.0
0000052,800.0,600.0,36,355.0,111.0,370.0,143.0
0000052,800.0,600.0,36,654.0,254.0,684.0,283.0
0000055,800.0,600.0,5,187.0,235.0,231.0,309.0
0000055,800.0,600.0,13,141.0,346.0,219.0,410.0
0000055,800.0,600.0,6,190.0,464.0,246.0,520.0
0000058,800.0,600.0,7,323.0,121.0,361.0,154.0
0000058,800.0,600.0,36,136.0,12.0,150.0,44.0
0000058,800.0,600.0,36,49.0,139.0,66.0,172.0
0000058,800.0,600.0,36,202.0,75.0,220.0,106.0
0000058,800.0,600.0,36,267.0,82.0,288.0,116.0
0000058,800.0,600.0,36,213.0,116.0,240.0,145.0
0000058,800.0,600.0,36,249.0,160.0,281.0,176.0
0000058,800.0,600.0,36,236.0,199.0,269.0,222.0
0000058,800.0,600.0,36,244.0,247.0,273.0,267.0
0000058,800.0,600.0,36,200.0,228.0,228.0,248.0
0000058,800.0,600.0,36,180.0,225.0,199.0,261.0
0000058,800.0,600.0,36,141.0,271.0,170.0,297.0
0000058,800.0,600.0,36,136.0,299.0,162.0,329.0
0000058,800.0,600.0,36,142.0,331.0,172.0,358.0
0000058,800.0,600.0,36,233.0,268.0,246.0,303.0
0000058,800.0,600.0,36,246.0,267.0,262.0,307.0
0000058,800.0,600.0,36,224.0,325.0,255.0,353.0
0000058,800.0,600.0,36,282.0,564.0,317.0,581.0
0000058,800.0,600.0,36,419.0,552.0,439.0,584.0
0000058,800.0,600.0,36,338.0,505.0,373.0,522.0
0000058,800.0,600.0,36,358.0,487.0,392.0,503.0
0000058,800.0,600.0,36,360.0,381.0,399.0,405.0
0000058,800.0,600.0,36,374.0,400.0,401.0,427.0
0000058,800.0,600.0,32,475.0,519.0,517.0,557.0
0000058,800.0,600.0,36,513.0,450.0,531.0,484.0
0000058,800.0,600.0,36,477.0,430.0,512.0,454.0
0000058,800.0,600.0,36,510.0,385.0,530.0,428.0
0000058,800.0,600.0,36,453.0,294.0,490.0,313.0
0000058,800.0,600.0,36,332.0,271.0,364.0,291.0
0000058,800.0,600.0,36,533.0,379.0,575.0,429.0
0000058,800.0,600.0,36,543.0,203.0,582.0,222.0
0000058,800.0,600.0,36,512.0,240.0,538.0,265.0
0000058,800.0,600.0,36,472.0,236.0,504.0,262.0
0000058,800.0,600.0,36,300.0,199.0,332.0,222.0
0000058,800.0,600.0,36,437.0,125.0,456.0,166.0
0000058,800.0,600.0,36,392.0,144.0,421.0,168.0
0000058,800.0,600.0,36,407.0,119.0,436.0,143.0
0000058,800.0,600.0,36,462.0,77.0,499.0,96.0
0000058,800.0,600.0,36,408.0,53.0,438.0,78.0
0000058,800.0,600.0,36,422.0,13.0,449.0,45.0
0000058,800.0,600.0,36,555.0,16.0,584.0,47.0
0000058,800.0,600.0,36,743.0,122.0,761.0,159.0
0000058,800.0,600.0,36,706.0,301.0,729.0,336.0
0000058,800.0,600.0,36,756.0,316.0,782.0,336.0
0000058,800.0,600.0,32,419.0,160.0,472.0,195.0
0000059,800.0,600.0,34,332.0,55.0,411.0,109.0
0000061,800.0,600.0,5,108.0,177.0,154.0,229.0
0000061,800.0,600.0,7,100.0,165.0,128.0,189.0
0000061,800.0,600.0,7,145.0,257.0,177.0,291.0
0000062,800.0,600.0,5,143.0,206.0,188.0,260.0
0000062,800.0,600.0,7,99.0,425.0,138.0,474.0
0000062,800.0,600.0,6,264.0,522.0,312.0,571.0
0000062,800.0,600.0,6,509.0,502.0,562.0,547.0
0000062,800.0,600.0,8,553.0,399.0,587.0,438.0
0000063,800.0,600.0,36,313.0,14.0,343.0,38.0
0000063,800.0,600.0,36,357.0,38.0,384.0,67.0
0000063,800.0,600.0,36,207.0,135.0,232.0,166.0
0000063,800.0,600.0,15,210.0,447.0,260.0,504.0
0000063,800.0,600.0,36,422.0,142.0,459.0,160.0
0000063,800.0,600.0,36,524.0,65.0,559.0,90.0
0000063,800.0,600.0,36,176.0,191.0,195.0,229.0
0000063,800.0,600.0,36,160.0,188.0,197.0,219.0
0000064,800.0,600.0,16,297.0,57.0,331.0,100.0
0000067,800.0,600.0,16,230.0,64.0,282.0,112.0
0000070,800.0,600.0,7,166.0,271.0,201.0,323.0
0000071,800.0,600.0,6,235.0,108.0,286.0,170.0
0000071,800.0,600.0,8,263.0,33.0,299.0,73.0
0000071,800.0,600.0,7,635.0,497.0,671.0,531.0
0000072,800.0,600.0,8,177.0,111.0,220.0,146.0
0000072,800.0,600.0,8,155.0,184.0,190.0,214.0
0000075,800.0,600.0,13,123.0,203.0,175.0,264.0
0000075,800.0,600.0,7,169.0,185.0,228.0,223.0
0000075,800.0,600.0,36,570.0,475.0,591.0,504.0
0000075,800.0,600.0,36,413.0,153.0,442.0,179.0
0000076,800.0,600.0,32,118.0,36.0,152.0,78.0
0000076,800.0,600.0,32,254.0,15.0,290.0,52.0
0000076,800.0,600.0,36,182.0,113.0,213.0,138.0
0000076,800.0,600.0,36,140.0,140.0,170.0,161.0
0000076,800.0,600.0,36,146.0,162.0,171.0,175.0
0000076,800.0,600.0,36,127.0,183.0,163.0,205.0
0000076,800.0,600.0,36,83.0,195.0,113.0,220.0
0000076,800.0,600.0,36,78.0,250.0,106.0,268.0
0000076,800.0,600.0,36,240.0,277.0,274.0,301.0
0000076,800.0,600.0,36,207.0,296.0,240.0,316.0
0000076,800.0,600.0,36,160.0,300.0,191.0,320.0
0000076,800.0,600.0,36,124.0,396.0,152.0,424.0
0000076,800.0,600.0,36,173.0,364.0,202.0,388.0
0000076,800.0,600.0,36,242.0,468.0,264.0,503.0
0000076,800.0,600.0,36,281.0,444.0,298.0,477.0
0000076,800.0,600.0,36,294.0,432.0,331.0,459.0
0000076,800.0,600.0,36,297.0,470.0,323.0,493.0
0000076,800.0,600.0,36,280.0,567.0,297.0,589.0
0000076,800.0,600.0,6,268.0,585.0,322.0,597.0
0000076,800.0,600.0,36,400.0,522.0,416.0,561.0
0000076,800.0,600.0,36,515.0,512.0,542.0,530.0
0000076,800.0,600.0,36,472.0,443.0,501.0,465.0
0000076,800.0,600.0,36,300.0,396.0,333.0,412.0
0000076,800.0,600.0,36,371.0,312.0,388.0,350.0
0000076,800.0,600.0,36,389.0,331.0,430.0,348.0
0000076,800.0,600.0,36,340.0,231.0,355.0,265.0
0000076,800.0,600.0,36,392.0,146.0,426.0,166.0
0000076,800.0,600.0,36,363.0,112.0,392.0,152.0
0000076,800.0,600.0,36,388.0,88.0,404.0,125.0
0000076,800.0,600.0,36,367.0,79.0,388.0,112.0
0000076,800.0,600.0,36,419.0,32.0,451.0,49.0
0000076,800.0,600.0,36,418.0,50.0,451.0,67.0
0000076,800.0,600.0,36,429.0,88.0,469.0,112.0
0000076,800.0,600.0,36,502.0,106.0,526.0,138.0
0000076,800.0,600.0,36,664.0,191.0,694.0,211.0
0000076,800.0,600.0,36,705.0,206.0,737.0,223.0
0000076,800.0,600.0,36,637.0,249.0,669.0,267.0
0000076,800.0,600.0,36,543.0,512.0,572.0,530.0
0000076,800.0,600.0,36,580.0,504.0,611.0,521.0
0000076,800.0,600.0,32,672.0,140.0,715.0,174.0
0000076,800.0,600.0,13,679.0,348.0,725.0,396.0
0000076,800.0,600.0,36,527.0,319.0,544.0,347.0
0000076,800.0,600.0,32,517.0,259.0,561.0,290.0
0000076,800.0,600.0,36,530.0,375.0,560.0,391.0
0000076,800.0,600.0,36,530.0,392.0,567.0,407.0
0000076,800.0,600.0,36,520.0,404.0,554.0,420.0
0000076,800.0,600.0,32,488.0,417.0,517.0,456.0
0000076,800.0,600.0,32,406.0,340.0,447.0,373.0
0000076,800.0,600.0,25,313.0,505.0,363.0,547.0
0000076,800.0,600.0,32,210.0,538.0,256.0,570.0
0000076,800.0,600.0,32,177.0,554.0,223.0,590.0
0000076,800.0,600.0,31,550.0,30.0,599.0,89.0
0000076,800.0,600.0,25,598.0,69.0,645.0,117.0
0000076,800.0,600.0,32,424.0,268.0,473.0,322.0
0000076,800.0,600.0,6,432.0,46.0,482.0,85.0
0000077,800.0,600.0,24,561.0,35.0,613.0,85.0
0000079,800.0,600.0,7,270.0,41.0,295.0,91.0
0000081,800.0,600.0,36,537.0,146.0,555.0,183.0
0000081,800.0,600.0,32,604.0,253.0,651.0,314.0
0000081,800.0,600.0,8,214.0,244.0,251.0,285.0
0000081,800.0,600.0,8,180.0,345.0,206.0,371.0
0000081,800.0,600.0,8,132.0,389.0,156.0,415.0
0000083,800.0,600.0,36,156.0,63.0,172.0,99.0
0000083,800.0,600.0,36,194.0,108.0,217.0,144.0
0000083,800.0,600.0,36,276.0,80.0,296.0,116.0
0000083,800.0,600.0,36,342.0,47.0,359.0,81.0
0000083,800.0,600.0,36,221.0,271.0,253.0,291.0
0000083,800.0,600.0,36,254.0,327.0,283.0,350.0
0000083,800.0,600.0,36,279.0,325.0,310.0,357.0
0000083,800.0,600.0,36,317.0,376.0,336.0,417.0
0000083,800.0,600.0,32,188.0,398.0,218.0,440.0
0000083,800.0,600.0,34,241.0,396.0,276.0,476.0
0000083,800.0,600.0,34,369.0,144.0,411.0,165.0
0000083,800.0,600.0,34,452.0,96.0,486.0,118.0
0000083,800.0,600.0,34,429.0,39.0,457.0,65.0
0000083,800.0,600.0,34,602.0,43.0,626.0,80.0
0000083,800.0,600.0,32,643.0,33.0,683.0,75.0
0000083,800.0,600.0,36,748.0,205.0,770.0,231.0
0000083,800.0,600.0,36,564.0,277.0,598.0,298.0
0000083,800.0,600.0,36,603.0,533.0,639.0,554.0
0000087,800.0,600.0,6,305.0,0.0,346.0,29.0
0000087,800.0,600.0,36,288.0,53.0,307.0,85.0
0000087,800.0,600.0,36,241.0,116.0,277.0,132.0
0000087,800.0,600.0,36,244.0,137.0,268.0,172.0
0000087,800.0,600.0,36,90.0,148.0,119.0,164.0
0000087,800.0,600.0,36,177.0,218.0,208.0,239.0
0000087,800.0,600.0,36,174.0,262.0,201.0,299.0
0000087,800.0,600.0,36,279.0,252.0,315.0,274.0
0000087,800.0,600.0,36,219.0,424.0,249.0,455.0
0000087,800.0,600.0,32,657.0,333.0,690.0,383.0
0000087,800.0,600.0,32,377.0,105.0,415.0,158.0
0000091,800.0,600.0,13,143.0,224.0,199.0,292.0
0000091,800.0,600.0,13,146.0,349.0,210.0,414.0
0000091,800.0,600.0,5,183.0,325.0,246.0,380.0
0000091,800.0,600.0,6,344.0,494.0,388.0,532.0
0000091,800.0,600.0,5,460.0,470.0,509.0,520.0
0000091,800.0,600.0,7,505.0,509.0,550.0,542.0
0000092,800.0,600.0,36,330.0,0.0,357.0,19.0
0000092,800.0,600.0,36,279.0,96.0,307.0,117.0
0000092,800.0,600.0,36,266.0,118.0,304.0,133.0
0000092,800.0,600.0,36,286.0,134.0,301.0,167.0
0000092,800.0,600.0,36,330.0,164.0,364.0,186.0
0000092,800.0,600.0,36,317.0,211.0,342.0,239.0
0000092,800.0,600.0,36,326.0,235.0,355.0,258.0
0000092,800.0,600.0,36,330.0,246.0,363.0,267.0
0000092,800.0,600.0,36,201.0,214.0,234.0,235.0
0000092,800.0,600.0,36,187.0,230.0,209.0,259.0
0000092,800.0,600.0,36,100.0,268.0,130.0,286.0
0000092,800.0,600.0,36,78.0,292.0,102.0,313.0
0000092,800.0,600.0,36,151.0,260.0,171.0,293.0
0000092,800.0,600.0,7,146.0,314.0,177.0,340.0
0000092,800.0,600.0,36,287.0,464.0,306.0,502.0
0000092,800.0,600.0,36,309.0,386.0,333.0,424.0
0000092,800.0,600.0,13,427.0,469.0,482.0,516.0
0000092,800.0,600.0,36,454.0,392.0,482.0,420.0
0000092,800.0,600.0,36,332.0,351.0,359.0,381.0
0000092,800.0,600.0,36,370.0,326.0,406.0,349.0
0000092,800.0,600.0,36,336.0,308.0,374.0,330.0
0000092,800.0,600.0,36,562.0,80.0,593.0,101.0
0000092,800.0,600.0,31,599.0,140.0,649.0,185.0
0000092,800.0,600.0,36,649.0,296.0,679.0,322.0
0000092,800.0,600.0,1,123.0,85.0,130.0,93.0
0000092,800.0,600.0,1,206.0,30.0,213.0,39.0
0000092,800.0,600.0,1,101.0,129.0,108.0,137.0
0000092,800.0,600.0,1,189.0,127.0,196.0,133.0
0000092,800.0,600.0,1,243.0,187.0,251.0,193.0
0000092,800.0,600.0,1,146.0,190.0,155.0,198.0
0000092,800.0,600.0,1,141.0,210.0,148.0,217.0
0000092,800.0,600.0,1,119.0,219.0,127.0,225.0
0000092,800.0,600.0,1,144.0,238.0,150.0,244.0
0000092,800.0,600.0,1,168.0,226.0,173.0,234.0
0000092,800.0,600.0,1,131.0,224.0,136.0,230.0
0000092,800.0,600.0,1,120.0,226.0,126.0,232.0
0000092,800.0,600.0,1,203.0,261.0,209.0,267.0
0000092,800.0,600.0,1,112.0,303.0,119.0,311.0
0000092,800.0,600.0,1,137.0,345.0,144.0,350.0
0000092,800.0,600.0,1,153.0,341.0,159.0,346.0
0000092,800.0,600.0,1,175.0,357.0,182.0,363.0
0000092,800.0,600.0,1,225.0,319.0,231.0,324.0
0000092,800.0,600.0,1,233.0,342.0,238.0,350.0
0000092,800.0,600.0,1,234.0,358.0,242.0,363.0
0000092,800.0,600.0,1,179.0,406.0,185.0,411.0
0000092,800.0,600.0,1,184.0,416.0,191.0,423.0
0000092,800.0,600.0,1,261.0,397.0,267.0,404.0
0000092,800.0,600.0,1,237.0,439.0,243.0,446.0
0000092,800.0,600.0,1,227.0,454.0,233.0,460.0
0000092,800.0,600.0,1,207.0,453.0,214.0,459.0
0000092,800.0,600.0,1,100.0,361.0,106.0,367.0
0000092,800.0,600.0,1,66.0,386.0,72.0,393.0
0000092,800.0,600.0,1,130.0,456.0,136.0,461.0
0000092,800.0,600.0,1,147.0,452.0,154.0,458.0
0000092,800.0,600.0,1,152.0,442.0,156.0,446.0
0000092,800.0,600.0,1,158.0,448.0,163.0,453.0
0000092,800.0,600.0,1,167.0,441.0,172.0,446.0
0000092,800.0,600.0,1,166.0,446.0,173.0,452.0
0000092,800.0,600.0,1,164.0,466.0,171.0,471.0
0000092,800.0,600.0,1,152.0,466.0,159.0,472.0
0000092,800.0,600.0,1,183.0,476.0,188.0,484.0
0000092,800.0,600.0,1,193.0,490.0,200.0,495.0
0000092,800.0,600.0,1,142.0,504.0,147.0,511.0
0000092,800.0,600.0,1,235.0,506.0,240.0,514.0
0000092,800.0,600.0,1,232.0,546.0,238.0,553.0
0000092,800.0,600.0,1,252.0,554.0,259.0,561.0
0000092,800.0,600.0,1,280.0,570.0,286.0,575.0
0000092,800.0,600.0,1,297.0,568.0,303.0,573.0
0000092,800.0,600.0,1,300.0,584.0,304.0,591.0
0000092,800.0,600.0,1,313.0,30.0,320.0,36.0
0000092,800.0,600.0,1,465.0,142.0,472.0,147.0
0000092,800.0,600.0,1,507.0,346.0,513.0,355.0
0000092,800.0,600.0,1,545.0,345.0,550.0,351.0
0000092,800.0,600.0,1,571.0,491.0,577.0,499.0
0000092,800.0,600.0,1,609.0,488.0,616.0,495.0
0000092,800.0,600.0,1,616.0,449.0,623.0,456.0
0000092,800.0,600.0,1,602.0,434.0,609.0,441.0
0000092,800.0,600.0,1,661.0,376.0,668.0,380.0
0000092,800.0,600.0,1,665.0,388.0,671.0,393.0
0000092,800.0,600.0,1,663.0,394.0,670.0,400.0
0000092,800.0,600.0,1,264.0,501.0,269.0,510.0
0000092,800.0,600.0,1,280.0,516.0,286.0,521.0
0000092,800.0,600.0,1,486.0,565.0,491.0,571.0
0000092,800.0,600.0,1,643.0,390.0,647.0,393.0
0000092,800.0,600.0,1,645.0,395.0,651.0,400.0
0000092,800.0,600.0,1,557.0,394.0,565.0,400.0
0000092,800.0,600.0,1,583.0,416.0,588.0,422.0
0000092,800.0,600.0,1,558.0,424.0,566.0,430.0
0000094,800.0,600.0,6,119.0,50.0,162.0,101.0
0000094,800.0,600.0,36,249.0,16.0,276.0,43.0
0000094,800.0,600.0,36,362.0,6.0,396.0,24.0
0000094,800.0,600.0,36,405.0,11.0,431.0,50.0
0000094,800.0,600.0,36,424.0,108.0,445.0,139.0
0000094,800.0,600.0,36,438.0,139.0,468.0,162.0
0000094,800.0,600.0,1,201.0,41.0,206.0,48.0
0000094,800.0,600.0,1,196.0,54.0,203.0,60.0
0000094,800.0,600.0,1,251.0,106.0,258.0,112.0
0000094,800.0,600.0,1,122.0,129.0,129.0,136.0
0000094,800.0,600.0,1,122.0,203.0,129.0,207.0
0000094,800.0,600.0,1,246.0,259.0,250.0,266.0
0000094,800.0,600.0,1,106.0,255.0,112.0,261.0
0000094,800.0,600.0,1,146.0,328.0,151.0,334.0
0000094,800.0,600.0,1,120.0,396.0,126.0,401.0
0000094,800.0,600.0,1,104.0,424.0,109.0,428.0
0000094,800.0,600.0,1,156.0,508.0,161.0,513.0
0000094,800.0,600.0,1,446.0,50.0,451.0,54.0
0000098,800.0,600.0,13,209.0,3.0,289.0,58.0
0000098,800.0,600.0,13,236.0,125.0,325.0,194.0
0000098,800.0,600.0,8,221.0,215.0,257.0,244.0
0000098,800.0,600.0,13,181.0,345.0,248.0,406.0
0000098,800.0,600.0,6,244.0,441.0,299.0,490.0
0000098,800.0,600.0,6,329.0,478.0,397.0,524.0
0000098,800.0,600.0,5,292.0,346.0,342.0,387.0
0000098,800.0,600.0,13,371.0,379.0,439.0,444.0
0000099,800.0,600.0,6,245.0,268.0,295.0,310.0
0000099,800.0,600.0,13,218.0,228.0,273.0,289.0
0000099,800.0,600.0,8,263.0,461.0,294.0,494.0
0000099,800.0,600.0,8,94.0,171.0,135.0,202.0
0000100,800.0,600.0,32,625.0,104.0,670.0,142.0
0000102,800.0,600.0,24,251.0,233.0,306.0,292.0
0000102,800.0,600.0,36,266.0,200.0,308.0,230.0
0000102,800.0,600.0,36,359.0,284.0,381.0,325.0
0000102,800.0,600.0,32,169.0,557.0,211.0,597.0
0000102,800.0,600.0,36,388.0,456.0,405.0,489.0
